File,ID_x,ID_y
RR61_50x_obl_6d_23.jpg,long_fecal_pellet,large_loose_pellet
RR54_20x_obl_23a_13622.jpg,long_fecal_pellet,aggregate
RR9_7x_obl_8_3815.jpg,long_fecal_pellet,aggregate
RR29_20x_obl_39c_8382.jpg,long_fecal_pellet,long_fecal_pellet
RR59_20x_obl_34b_58.jpg,long_fecal_pellet,long_fecal_pellet
RR5_7x_obl_18_13148.jpg,long_fecal_pellet,long_fecal_pellet
RR1_20x_obl_28a_3993.jpg,long_fecal_pellet,long_fecal_pellet
RR53_20x_obl_37b_25596.jpg,long_fecal_pellet,long_fecal_pellet
RR6_20x_obl_26b_9859.jpg,long_fecal_pellet,long_fecal_pellet
RR1_20x_obl_11c_8348.jpg,long_fecal_pellet,long_fecal_pellet
RR1_20x_obl_4b_1837.jpg,long_fecal_pellet,long_fecal_pellet
RR1_7x_obl_15_6046.jpg,long_fecal_pellet,long_fecal_pellet
RR23_20x_obl_2a_7409.jpg,long_fecal_pellet,long_fecal_pellet
RR1_7x_obl_14_6536.jpg,long_fecal_pellet,long_fecal_pellet
RR58_20x_obl_6c_16363.jpg,long_fecal_pellet,long_fecal_pellet
RR7_20x_obl_7a_5788.jpg,long_fecal_pellet,long_fecal_pellet
RR1_20x_obl_14a_5356.jpg,long_fecal_pellet,fiber
RR6_20x_obl_1b_8562.jpg,long_fecal_pellet,long_fecal_pellet
RR23_7x_obl_10_15046.jpg,long_fecal_pellet,long_fecal_pellet
RR28_20x_obl_9a_1592.jpg,long_fecal_pellet,long_fecal_pellet
RR6_20x_obl_28a_4857.jpg,long_fecal_pellet,long_fecal_pellet
RR7_20x_obl_27a_3498.jpg,long_fecal_pellet,long_fecal_pellet
RR23_20x_obl_5b_1448.jpg,long_fecal_pellet,long_fecal_pellet
RR23_7x_obl_16_8427.jpg,long_fecal_pellet,long_fecal_pellet
RR6_20x_obl_17c_3261.jpg,long_fecal_pellet,long_fecal_pellet
RR1_20x_obl_10b_16076.jpg,long_fecal_pellet,long_fecal_pellet
RR28_20x_obl_1c_10022.jpg,long_fecal_pellet,dense_detritus
RR6_20x_obl_25b_9926.jpg,long_fecal_pellet,long_fecal_pellet
RR58_7x_obl_2_9657.jpg,long_fecal_pellet,long_fecal_pellet
RR54_20x_obl_3b_17775.jpg,long_fecal_pellet,long_fecal_pellet
RR24_115x_obl_1e_30.jpg,long_fecal_pellet,zooplankton_part
RR1_20x_obl_24b_19560.jpg,long_fecal_pellet,long_fecal_pellet
RR23_20x_obl_18b_230.jpg,long_fecal_pellet,long_fecal_pellet
RR58_20x_obl_38c_20524.jpg,long_fecal_pellet,large_loose_pellet
RR59_20x_obl_34c_9492.jpg,long_fecal_pellet,long_fecal_pellet
RR5_50x_obl_10b_1470.jpg,long_fecal_pellet,unidentifiable
RR58_20x_obl_36b_20206.jpg,long_fecal_pellet,long_fecal_pellet
RR1_20x_obl_3b_12966.jpg,long_fecal_pellet,long_fecal_pellet
RR1_7x_obl_12_1576.jpg,long_fecal_pellet,long_fecal_pellet
RR4_20x_obl_35c_19522.jpg,long_fecal_pellet,long_fecal_pellet
RR9_20x_obl_18a_14441.jpg,long_fecal_pellet,aggregate
RR28_20x_obl_28b_13243.jpg,long_fecal_pellet,long_fecal_pellet
RR6_20x_obl_16a_10357.jpg,long_fecal_pellet,long_fecal_pellet
RR1_20x_obl_24c_10336.jpg,long_fecal_pellet,long_fecal_pellet
RR9_20x_obl_20b_10101.jpg,long_fecal_pellet,zooplankton_part
RR53_7x_obl_9_17792.jpg,long_fecal_pellet,long_fecal_pellet
RR1_7x_obl_13_16397.jpg,long_fecal_pellet,long_fecal_pellet
RR60_20x_obl_18c_1050.jpg,long_fecal_pellet,long_fecal_pellet
RR1_7x_obl_7_7742.jpg,long_fecal_pellet,long_fecal_pellet
RR6_20x_obl_27c_8213.jpg,long_fecal_pellet,long_fecal_pellet
RR58_7x_obl_10_3071.jpg,long_fecal_pellet,long_fecal_pellet
RR6_50x_obl_12e_670.jpg,long_fecal_pellet,aggregate
RR54_20x_obl_5a_6963.jpg,long_fecal_pellet,long_fecal_pellet
RR53_7x_obl_10_2137.jpg,long_fecal_pellet,long_fecal_pellet
RR54_20x_obl_7b_7259.jpg,long_fecal_pellet,long_fecal_pellet
RR53_20x_obl_25b_4444.jpg,long_fecal_pellet,long_fecal_pellet
RR23_7x_obl_13_15946.jpg,long_fecal_pellet,long_fecal_pellet
RR54_20x_obl_7a_6506.jpg,long_fecal_pellet,unidentifiable
